,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1864,Wed,2017-12-20,19:30,Getafe,2.5,2–0,2.5,Las Palmas,9231.0,Coliseum Alfonso Pérez,Ricardo de Burgos
1865,Wed,2017-12-20,21:30,Real Sociedad,1.4,3–1,0.4,Sevilla,17205.0,Estadio Municipal de Anoeta,Alejandro Hernández
1866,Thu,2017-12-21,19:30,Eibar,2.0,4–1,0.3,Girona,4867.0,Estadio Municipal de Ipurúa,Ignacio Iglesias
1867,Thu,2017-12-21,21:30,Alavés,2.0,1–0,0.5,Málaga,18733.0,Estadio de Mendizorroza,Alfonso Álvarez
1868,Fri,2017-12-22,19:30,Betis,1.0,0–2,2.5,Athletic Club,42713.0,Estadio Benito Villamarín,Juan Martínez
1869,Fri,2017-12-22,21:30,Espanyol,0.9,1–0,0.5,Atlético Madrid,19327.0,RCDE Stadium,Mario Melero
1870,Sat,2017-12-23,13:00,Real Madrid,1.0,0–3,2.5,Barcelona,80264.0,Estadio Santiago Bernabéu,José Sánchez
1871,Sat,2017-12-23,16:15,Valencia,1.5,0–1,1.0,Villarreal,39181.0,Estadio de Mestalla,Daniel Trujillo
1872,Sat,2017-12-23,18:30,La Coruña,1.3,1–3,1.3,Celta Vigo,27877.0,Estadio Municipal de Riazor,Alberto Undiano
1874,Sat,2018-01-06,13:00,Atlético Madrid,1.4,2–0,0.6,Getafe,47023.0,Estadio Wanda Metropolitano,José Munuera
1875,Sat,2018-01-06,16:15,Valencia,1.9,2–1,0.9,Girona,27749.0,Estadio de Mestalla,David Fernández
1876,Sat,2018-01-06,17:30,Las Palmas,1.0,1–2,1.1,Eibar,12059.0,Estadio de Gran Canaria,José González
1877,Sat,2018-01-06,20:45,Sevilla,1.4,3–5,1.4,Betis,40282.0,Estadio Ramón Sánchez Pizjuán,Jesús Gil
1878,Sun,2018-01-07,12:00,Leganés,1.2,1–0,0.7,Real Sociedad,7523.0,Estadio Municipal de Butarque,Javier Estrada
1879,Sun,2018-01-07,16:15,Barcelona,2.4,3–0,0.8,Levante,56380.0,Camp Nou,Carlos del Cerro
1880,Sun,2018-01-07,18:30,Villarreal,1.3,1–1,1.0,La Coruña,15442.0,Estadio de la Cerámica,David Medié
1881,Sun,2018-01-07,18:30,Athletic Club,1.8,2–0,0.2,Alavés,41000.0,San Mamés,Pablo González
1882,Sun,2018-01-07,20:45,Celta Vigo,1.9,2–2,1.7,Real Madrid,20872.0,Estadio de Balaídos,Santiago Jaime
1883,Mon,2018-01-08,21:00,Málaga,1.2,0–1,0.5,Espanyol,12149.0,Estadio La Rosaleda,Antonio Matéu Lahoz
1885,Fri,2018-01-12,21:00,Getafe,0.5,1–0,0.5,Málaga,9513.0,Coliseum Alfonso Pérez,Juan Martínez
1886,Sat,2018-01-13,13:00,Girona,3.6,6–0,0.2,Las Palmas,10037.0,Estadi Municipal de Montilivi,Mario Melero
1887,Sat,2018-01-13,16:15,Real Madrid,2.1,0–1,1.0,Villarreal,63403.0,Estadio Santiago Bernabéu,Alberto Undiano
