,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1183,Wed,2020-07-08,21:45,Torino,2.4,3–1,1.6,Brescia,,Stadio Olimpico di Torino,Daniele Doveri
1184,Wed,2020-07-08,21:45,Roma,2.6,2–1,1.1,Parma,,Stadio Olimpico,Michael Fabbri
1185,Wed,2020-07-08,21:45,Atalanta,1.1,2–0,0.8,Sampdoria,,Stadio Atleti Azzurri d'Italia,Antonio Giua
1186,Thu,2020-07-09,19:30,SPAL,0.4,0–3,1.1,Udinese,,Stadio Paolo Mazza,Daniele Chiffi
1187,Thu,2020-07-09,21:45,Hellas Verona,0.7,2–2,1.0,Inter,,Stadio Marc'Antonio Bentegodi,Massimiliano Irrati
1189,Sat,2020-07-11,17:15,Lazio,1.0,1–2,2.3,Sassuolo,,Stadio Olimpico,Marco Di Bello
1190,Sat,2020-07-11,19:30,Brescia,1.0,0–3,3.2,Roma,,Stadio Mario Rigamonti,Giampaolo Calvarese
1191,Sat,2020-07-11,21:45,Juventus,2.1,2–2,0.9,Atalanta,,Allianz Stadium,Piero Giacomelli
1192,Sun,2020-07-12,17:15,Genoa,2.2,2–0,0.0,SPAL,,Stadio Comunale Luigi Ferraris,Marco Guida
1193,Sun,2020-07-12,19:30,Fiorentina,1.0,1–1,0.9,Hellas Verona,,Stadio Artemio Franchi,Daniele Chiffi
1194,Sun,2020-07-12,19:30,Udinese,0.6,1–3,1.0,Sampdoria,,Dacia Arena,Paolo Valeri
1195,Sun,2020-07-12,19:30,Cagliari,2.0,0–0,1.9,Lecce,,Sardegna Arena,Daniele Orsato
1196,Sun,2020-07-12,19:30,Parma,1.5,2–2,0.8,Bologna,,Stadio Ennio Tardini,Maurizio Mariani
1197,Sun,2020-07-12,21:45,Napoli,2.0,2–2,1.1,Milan,,Stadio San Paolo,Federico La Penna
1198,Mon,2020-07-13,21:45,Inter,2.2,3–1,1.7,Torino,,Stadio Giuseppe Meazza,Davide Massa
1200,Tue,2020-07-14,21:45,Atalanta,2.2,6–2,1.0,Brescia,,Stadio Atleti Azzurri d'Italia,Gianluca Manganiello
1201,Wed,2020-07-15,19:30,Sampdoria,1.1,3–0,0.7,Cagliari,,Stadio Comunale Luigi Ferraris,Luca Pairetto
1202,Wed,2020-07-15,19:30,Bologna,0.9,1–1,0.8,Napoli,,Stadio Renato Dall'Ara,Marco Piccinini
1203,Wed,2020-07-15,19:30,Milan,2.3,3–1,1.0,Parma,,Stadio Giuseppe Meazza,Massimiliano Irrati
1204,Wed,2020-07-15,21:45,Roma,2.8,2–1,0.4,Hellas Verona,,Stadio Olimpico,Fabio Maresca
1205,Wed,2020-07-15,21:45,Sassuolo,2.8,3–3,2.2,Juventus,,Stadio Città del Tricolore,Paolo Valeri
1206,Wed,2020-07-15,21:45,Lecce,0.7,1–3,2.7,Fiorentina,,Stadio Comunale Via Del Mare,Marco Guida
1207,Wed,2020-07-15,21:45,Udinese,1.4,0–0,0.9,Lazio,,Dacia Arena,Rosario Abisso
1208,Thu,2020-07-16,19:30,Torino,1.1,3–0,0.9,Genoa,,Stadio Olimpico di Torino,Gianluca Rocchi
1209,Thu,2020-07-16,21:45,SPAL,0.7,0–4,2.4,Inter,,Stadio Paolo Mazza,Antonio Giua
1211,Sat,2020-07-18,17:15,Hellas Verona,1.2,1–1,2.1,Atalanta,,Stadio Marc'Antonio Bentegodi,Rosario Abisso
1212,Sat,2020-07-18,19:30,Cagliari,0.2,1–1,0.6,Sassuolo,,Sardegna Arena,Giovanni Ayroldi
1213,Sat,2020-07-18,21:45,Milan,3.0,5–1,0.5,Bologna,,Stadio Giuseppe Meazza,Davide Massa
1214,Sun,2020-07-19,17:15,Parma,1.2,2–3,1.5,Sampdoria,,Stadio Ennio Tardini,Giampaolo Calvarese
1215,Sun,2020-07-19,19:30,Brescia,1.2,2–1,1.7,SPAL,,Stadio Mario Rigamonti,Eugenio Abbattista
1216,Sun,2020-07-19,19:30,Genoa,0.4,2–1,2.0,Lecce,,Stadio Comunale Luigi Ferraris,Daniele Doveri
1217,Sun,2020-07-19,19:30,Fiorentina,1.5,2–0,0.4,Torino,,Stadio Artemio Franchi,Maurizio Mariani
1218,Sun,2020-07-19,19:30,Napoli,1.6,2–1,0.7,Udinese,,Stadio San Paolo,Daniele Chiffi
1219,Sun,2020-07-19,21:45,Roma,1.4,2–2,1.4,Inter,,Stadio Olimpico,Marco Di Bello
1220,Mon,2020-07-20,21:45,Juventus,3.0,2–1,1.3,Lazio,,Allianz Stadium,Daniele Orsato
1222,Tue,2020-07-21,19:30,Atalanta,2.0,1–0,0.4,Bologna,,Stadio Atleti Azzurri d'Italia,Federico La Penna
1223,Tue,2020-07-21,21:45,Sassuolo,1.2,1–2,2.1,Milan,,Stadio Città del Tricolore,Luca Pairetto
