,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
511,Regular Season,Wed,2021-01-20,20:30,Augsburg,1.2,0–1,2.0,Bayern Munich,,WWK Arena,Matthias Jöllenbeck
512,Regular Season,Wed,2021-01-20,20:30,Arminia,2.2,3–0,0.9,Stuttgart,,SchücoArena,Robert Hartmann
514,Regular Season,Fri,2021-01-22,20:30,M'Gladbach,1.8,4–2,1.2,Dortmund,,Stadion im Borussia-Park,Manuel Gräfe
515,Regular Season,Sat,2021-01-23,15:30,Leverkusen,1.0,0–1,1.1,Wolfsburg,,BayArena,Marco Fritz
516,Regular Season,Sat,2021-01-23,15:30,Augsburg,1.0,2–1,1.5,Union Berlin,,WWK Arena,Felix Brych
517,Regular Season,Sat,2021-01-23,15:30,Arminia,0.6,1–5,2.4,Eint Frankfurt,,SchücoArena,Robert Schröder
518,Regular Season,Sat,2021-01-23,15:30,Mainz 05,1.6,3–2,1.4,RB Leipzig,,Opel Arena,Christian Dingert
519,Regular Season,Sat,2021-01-23,15:30,Freiburg,1.2,2–1,2.5,Stuttgart,,Schwarzwald-Stadion,Tobias Stieler
520,Regular Season,Sat,2021-01-23,18:30,Hertha BSC,1.9,1–4,1.5,Werder Bremen,,Olympiastadion Berlin,Daniel Schlager
521,Regular Season,Sun,2021-01-24,15:30,Schalke 04,0.7,0–4,3.1,Bayern Munich,,Veltins-Arena,Sascha Stegemann
522,Regular Season,Sun,2021-01-24,18:00,Hoffenheim,2.2,3–0,2.0,Köln,,PreZero Arena,Sven Jablonski
524,Regular Season,Fri,2021-01-29,20:30,Stuttgart,1.0,2–0,0.5,Mainz 05,,Mercedes-Benz Arena,Frank Willenborg
525,Regular Season,Sat,2021-01-30,15:30,Union Berlin,0.5,1–1,0.9,M'Gladbach,,Stadion An der Alten Försterei,Bastian Dankert
526,Regular Season,Sat,2021-01-30,15:30,Eint Frankfurt,2.3,3–1,0.5,Hertha BSC,,Commerzbank-Arena,Florian Badstübner
